crsCode441454,semester669341,317713
crsCode936677,semester236729,127228
crsCode39278,semester929921,846809
crsCode77948,semester354272,483556
crsCode297484,semester734098,155283
crsCode512505,semester840803,369322
crsCode859221,semester188208,542436
crsCode399212,semester975940,432074
crsCode71630,semester543270,752771
crsCode783798,semester867682,465745
crsCode332204,semester160752,498059
crsCode17348,semester249314,136487
crsCode980610,semester374470,695958
crsCode764657,semester412118,178057
crsCode184828,semester950392,222664
crsCode891472,semester241944,792321
crsCode263761,semester201435,99963
crsCode8440,semester318493,514406
crsCode876916,semester187934,999308
crsCode178879,semester26864,99449
crsCode968780,semester797840,98951
crsCode1738,semester3674,420800
crsCode2169,semester818339,687540
crsCode375881,semester760946,419021
crsCode406739,semester136887,451081
crsCode880348,semester582093,180013
crsCode557134,semester740084,245857
crsCode853589,semester693390,413726
crsCode845836,semester113617,783637
crsCode39375,semester543378,943839
crsCode378451,semester742009,112852
crsCode36431,semester808492,624962
crsCode14764,semester148725,750257
crsCode712465,semester208128,832955
crsCode754831,semester889102,350439
crsCode96159,semester465114,548440
crsCode291143,semester505616,795128
crsCode31283,semester72423,947296
crsCode52953,semester526999,159604
crsCode681177,semester980122,446194
crsCode545199,semester14035,583923
crsCode461960,semester478702,75294
crsCode308890,semester892344,368554
crsCode204693,semester660878,45279
crsCode691348,semester599731,703353
crsCode340526,semester110799,639858
crsCode390655,semester239914,675546
crsCode902250,semester596041,180473
crsCode376037,semester140434,613840
crsCode60655,semester902200,113969
crsCode769787,semester849584,334294
crsCode661419,semester409083,784197
crsCode434577,semester482564,368984
crsCode571662,semester485128,810027
crsCode790994,semester74929,156473
crsCode441938,semester534464,919017
crsCode688437,semester839988,646125
crsCode654294,semester519212,977402
crsCode296818,semester193000,671500
crsCode918124,semester504974,210161
crsCode793141,semester905134,741650
crsCode163248,semester992412,501024
crsCode254551,semester953727,723052
crsCode33622,semester542210,490456
crsCode972026,semester74046,690610
crsCode448292,semester295934,703674
crsCode359648,semester843842,617213
crsCode1738,semester441486,794869
crsCode407399,semester668285,894844
crsCode967030,semester400350,115382
crsCode287053,semester356663,226988
crsCode677815,semester677000,157146
crsCode819057,semester720052,666820
crsCode768055,semester191503,10030
crsCode419088,semester422802,329764
crsCode919945,semester209946,753061
crsCode895214,semester820578,683253
crsCode648437,semester952042,934900
crsCode728455,semester223630,741293
crsCode523037,semester566602,799689
crsCode190433,semester309537,994081
crsCode952014,semester699945,763353
crsCode920164,semester114976,850963
crsCode972026,semester361325,568676
crsCode646832,semester411629,349794
crsCode492009,semester612328,938386
crsCode531215,semester714254,85922
crsCode357286,semester427253,32825
crsCode518053,semester906892,243278
crsCode743505,semester855424,376122
crsCode174744,semester487396,87470
crsCode837734,semester611164,178057
crsCode639181,semester24018,793615
crsCode285554,semester647752,881862
crsCode4849,semester963662,372514
crsCode198230,semester433268,214131
crsCode52953,semester647684,837230
crsCode583579,semester976881,905830
crsCode273612,semester417289,666696
crsCode298310,semester478165,869525
crsCode230450,semester592037,649715
crsCode129992,semester111237,871245
crsCode180041,semester992699,515492
crsCode56440,semester396331,149945
crsCode948113,semester465622,578284
crsCode817568,semester401860,322091
crsCode529627,semester57707,827434
crsCode385512,semester497889,590206
crsCode709359,semester14622,38971
crsCode27717,semester844900,847193
crsCode114329,semester865811,842776
crsCode868118,semester948469,718795
crsCode529755,semester304722,518979
crsCode993733,semester67692,587366
crsCode390850,semester320153,536953
crsCode641550,semester672930,713618
crsCode252680,semester978903,488352
crsCode390285,semester405045,731718
crsCode981933,semester94565,589328
crsCode619781,semester55276,240190
crsCode126911,semester289675,696176
crsCode343820,semester146309,335007
crsCode693282,semester448468,497477
crsCode58405,semester105620,240209
crsCode615385,semester131914,366538
crsCode578296,semester330767,539529
crsCode396783,semester676114,124752
crsCode433249,semester769056,789860
crsCode36054,semester842644,482849
crsCode178879,semester228051,362829
crsCode441163,semester784526,42016
crsCode878853,semester596110,500645
crsCode718225,semester224532,426451
crsCode472059,semester113687,341051
crsCode467056,semester844624,933583
crsCode104760,semester62813,207995
crsCode830103,semester247748,87868
crsCode495505,semester62280,10030
crsCode599620,semester868461,406071
crsCode885028,semester349952,451795
crsCode8970,semester818101,795567
crsCode347933,semester466553,213761
crsCode764214,semester658211,116171
crsCode310386,semester902312,167542
crsCode414718,semester329395,495443
crsCode427892,semester878909,664201
crsCode665022,semester711943,622800
crsCode726199,semester813109,590834
crsCode363947,semester247757,92541
crsCode483496,semester759339,917175
crsCode613036,semester656930,128691
crsCode420559,semester492353,977
crsCode431609,semester138811,126714
crsCode188225,semester311926,210655
crsCode218301,semester229348,332477
crsCode681175,semester148689,206067
crsCode88705,semester989089,997316
crsCode719100,semester615535,734332
crsCode43969,semester466552,243727
crsCode999000,semester888609,645087
crsCode368426,semester44537,630994
crsCode691348,semester133538,704388
